# RUN_NAME TRAIN_DATASET EVAL_DATASET N_WAYS K_SHOTS TRAIN_EPISODES SDTW_GAMMA UDTW_BETA TOKEN_L2_NORMALIZE DTW_PATH_NORMALIZE UNSUP_BATCH_SIZE UNSUP_TEMPERATURE
omniglot_to_stanford_cars_w5_s5_udtw_te1000_ub16_ut1p0_g100_b0p01_tl2no_dpnno omniglot stanford_cars 5 5 1000 100 0.01 no no 16 1.0
omniglot_to_stanford_cars_w5_s5_udtw_te1000_ub16_ut0p1_g100_b0p01_tl2no_dpnno omniglot stanford_cars 5 5 1000 100 0.01 no no 16 0.1
omniglot_to_stanford_cars_w5_s5_udtw_te1000_ub24_ut1p0_g100_b0p01_tl2no_dpnno omniglot stanford_cars 5 5 1000 100 0.01 no no 24 1.0
omniglot_to_stanford_cars_w5_s5_udtw_te1000_ub24_ut0p1_g100_b0p01_tl2no_dpnno omniglot stanford_cars 5 5 1000 100 0.01 no no 24 0.1
omniglot_to_stanford_cars_w5_s5_udtw_te1000_ub32_ut1p0_g100_b0p01_tl2no_dpnno omniglot stanford_cars 5 5 1000 100 0.01 no no 32 1.0
omniglot_to_stanford_cars_w5_s5_udtw_te1000_ub32_ut0p1_g100_b0p01_tl2no_dpnno omniglot stanford_cars 5 5 1000 100 0.01 no no 32 0.1
omniglot_to_stanford_cars_w20_s1_udtw_te500_ub16_ut1p0_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 1 500 100 0.01 no no 16 1.0
omniglot_to_stanford_cars_w20_s1_udtw_te500_ub16_ut0p1_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 1 500 100 0.01 no no 16 0.1
omniglot_to_stanford_cars_w20_s1_udtw_te500_ub24_ut1p0_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 1 500 100 0.01 no no 24 1.0
omniglot_to_stanford_cars_w20_s1_udtw_te500_ub24_ut0p1_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 1 500 100 0.01 no no 24 0.1
omniglot_to_stanford_cars_w20_s1_udtw_te500_ub32_ut1p0_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 1 500 100 0.01 no no 32 1.0
omniglot_to_stanford_cars_w20_s1_udtw_te500_ub32_ut0p1_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 1 500 100 0.01 no no 32 0.1
omniglot_to_stanford_cars_w20_s1_udtw_te1000_ub16_ut1p0_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 1 1000 100 0.01 no no 16 1.0
omniglot_to_stanford_cars_w20_s1_udtw_te1000_ub16_ut0p1_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 1 1000 100 0.01 no no 16 0.1
omniglot_to_stanford_cars_w20_s1_udtw_te1000_ub24_ut1p0_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 1 1000 100 0.01 no no 24 1.0
omniglot_to_stanford_cars_w20_s1_udtw_te1000_ub24_ut0p1_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 1 1000 100 0.01 no no 24 0.1
omniglot_to_stanford_cars_w20_s1_udtw_te1000_ub32_ut1p0_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 1 1000 100 0.01 no no 32 1.0
omniglot_to_stanford_cars_w20_s1_udtw_te1000_ub32_ut0p1_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 1 1000 100 0.01 no no 32 0.1
omniglot_to_stanford_cars_w20_s5_udtw_te500_ub16_ut1p0_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 5 500 100 0.01 no no 16 1.0
omniglot_to_stanford_cars_w20_s5_udtw_te500_ub16_ut0p1_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 5 500 100 0.01 no no 16 0.1
omniglot_to_stanford_cars_w20_s5_udtw_te500_ub24_ut1p0_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 5 500 100 0.01 no no 24 1.0
omniglot_to_stanford_cars_w20_s5_udtw_te500_ub24_ut0p1_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 5 500 100 0.01 no no 24 0.1
omniglot_to_stanford_cars_w20_s5_udtw_te500_ub32_ut1p0_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 5 500 100 0.01 no no 32 1.0
omniglot_to_stanford_cars_w20_s5_udtw_te500_ub32_ut0p1_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 5 500 100 0.01 no no 32 0.1
omniglot_to_stanford_cars_w20_s5_udtw_te1000_ub16_ut1p0_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 5 1000 100 0.01 no no 16 1.0
omniglot_to_stanford_cars_w20_s5_udtw_te1000_ub16_ut0p1_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 5 1000 100 0.01 no no 16 0.1
omniglot_to_stanford_cars_w20_s5_udtw_te1000_ub24_ut1p0_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 5 1000 100 0.01 no no 24 1.0
omniglot_to_stanford_cars_w20_s5_udtw_te1000_ub24_ut0p1_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 5 1000 100 0.01 no no 24 0.1
omniglot_to_stanford_cars_w20_s5_udtw_te1000_ub32_ut1p0_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 5 1000 100 0.01 no no 32 1.0
omniglot_to_stanford_cars_w20_s5_udtw_te1000_ub32_ut0p1_g100_b0p01_tl2no_dpnno omniglot stanford_cars 20 5 1000 100 0.01 no no 32 0.1
